transactionno,transactiondate,transactiontime,itemname,customername,paymentmethod,paymentrceipt,costprice(rm),sellingprice(rm),profit(rm)
T0442,21/03/2025,21:06,Chocojar(Blueberry),Ali Zainal,Cash,N/A,6.5,8,1.5
T0443,21/03/2025,19:21,Chocojar(Strawberry),Hafiz Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0538,6.5,8,1.5
T0444,21/03/2025,20:17,Chocojar(Strawberry),Aina Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0584,6.5,8,1.5
T0445,21/03/2025,08:06,Chocojar(Vanilla),Nur Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0589,6.5,8,1.5
T0446,21/03/2025,11:26,Chocojar(Strawberry),Nur Yusof,Cash,N/A,6.5,8,1.5
T0447,21/03/2025,08:14,Chocojar(Vanilla),Nur Omar,Cash,N/A,6.5,8,1.5
T0448,22/03/2025,08:55,Chocojar(Blueberry),Hafiz Latif,Cash,N/A,6.5,8,1.5
T0449,22/03/2025,20:38,Chocojar(Chocolate),Zulkifli Salleh,Cash,N/A,6.5,8,1.5
T0450,22/03/2025,17:21,Chocojar(Strawberry),Faiz Latif,OnlineBanking,https://photos.app.goo.gl.com/T0106,6.5,8,1.5
T0451,22/03/2025,21:28,Chocojar(Strawberry),Siti Omar,OnlineBanking,https://photos.app.goo.gl.com/T0113,6.5,8,1.5
T0452,22/03/2025,19:59,Chocojar(Blueberry),Nur Omar,Cash,N/A,6.5,8,1.5
T0453,22/03/2025,19:52,Chocojar(Vanilla),Siti Latif,Cash,N/A,6.5,8,1.5
T0454,22/03/2025,22:55,Chocojar(Strawberry),Zara Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0385,6.5,8,1.5
T0455,22/03/2025,22:11,Chocojar(Blueberry),Faiz Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0388,6.5,8,1.5
T0456,22/03/2025,16:31,Chocojar(Blueberry),Nur Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0400,6.5,8,1.5
T0457,22/03/2025,17:40,Chocojar(Strawberry),Aina Salleh,Cash,N/A,6.5,8,1.5
T0458,22/03/2025,18:38,Chocojar(Matcha),Ali Omar,Cash,N/A,6.5,8,1.5
T0459,22/03/2025,16:38,Chocojar(Chocolate),Faiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0438,6.5,8,1.5
T0460,22/03/2025,18:51,Chocojar(Blueberry),Faiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0479,6.5,8,1.5
T0461,22/03/2025,22:38,Chocojar(Strawberry),Siti Latif,Cash,N/A,6.5,8,1.5
T0462,22/03/2025,18:13,Chocojar(Matcha),Zulkifli Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0561,6.5,8,1.5
T0463,22/03/2025,14:19,Chocojar(Vanilla),Liyana Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0579,6.5,8,1.5
T0464,22/03/2025,10:18,Chocojar(Chocolate),Liyana Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0585,6.5,8,1.5
T0465,22/03/2025,08:00,Chocojar(Blueberry),Siti Salleh,Cash,N/A,6.5,8,1.5
T0466,22/03/2025,20:48,Chocojar(Vanilla),Ali Ismail,Cash,N/A,6.5,8,1.5
T0467,22/03/2025,10:57,Chocojar(Chocolate),Liyana Latif,OnlineBanking,https://photos.app.goo.gl.com/T0651,6.5,8,1.5
T0468,23/03/2025,09:54,Chocojar(Strawberry),Faiz Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0008,6.5,8,1.5
T0469,23/03/2025,11:01,Chocojar(Strawberry),Aina Latif,Cash,N/A,6.5,8,1.5
T0470,23/03/2025,08:38,Chocojar(Strawberry),Siti Yusof,Cash,N/A,6.5,8,1.5
T0471,23/03/2025,22:55,Chocojar(Matcha),Zara Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0112,6.5,8,1.5
T0472,23/03/2025,10:38,Chocojar(Strawberry),Ali Abdullah,Cash,N/A,6.5,8,1.5
T0473,23/03/2025,12:52,Chocojar(Strawberry),Zulkifli Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0136,6.5,8,1.5
T0474,23/03/2025,12:55,Chocojar(Vanilla),Ahmad Salleh,Cash,N/A,6.5,8,1.5
T0475,23/03/2025,22:23,Chocojar(Blueberry),Liyana Abdullah,Cash,N/A,6.5,8,1.5
T0476,23/03/2025,11:01,Chocojar(Strawberry),Zara Hassan,Cash,N/A,6.5,8,1.5
T0477,23/03/2025,10:34,Chocojar(Chocolate),Nur Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0330,6.5,8,1.5
T0478,23/03/2025,16:32,Chocojar(Vanilla),Zara Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0394,6.5,8,1.5
T0479,23/03/2025,12:49,Chocojar(Chocolate),Aina Salleh,Cash,N/A,6.5,8,1.5
T0480,23/03/2025,12:43,Chocojar(Blueberry),Nur Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0504,6.5,8,1.5
T0481,23/03/2025,22:46,Chocojar(Matcha),Ali Latif,OnlineBanking,https://photos.app.goo.gl.com/T0518,6.5,8,1.5
T0482,23/03/2025,19:30,Chocojar(Vanilla),Ahmad Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0529,6.5,8,1.5
T0483,23/03/2025,12:09,Chocojar(Chocolate),Liyana Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0558,6.5,8,1.5
T0484,23/03/2025,09:33,Chocojar(Blueberry),Siti Hassan,Cash,N/A,6.5,8,1.5
T0485,23/03/2025,21:59,Chocojar(Vanilla),Aina Ismail,Cash,N/A,6.5,8,1.5
T0486,23/03/2025,17:40,Chocojar(Matcha),Siti Latif,OnlineBanking,https://photos.app.goo.gl.com/T0580,6.5,8,1.5
T0487,24/03/2025,15:02,Chocojar(Blueberry),Aina Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0022,6.5,8,1.5
T0488,24/03/2025,10:59,Chocojar(Chocolate),Aina Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0028,6.5,8,1.5
T0489,24/03/2025,09:17,Chocojar(Chocolate),Ahmad Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0056,6.5,8,1.5
T0490,24/03/2025,16:28,Chocojar(Chocolate),Aina Omar,Cash,N/A,6.5,8,1.5
T0491,24/03/2025,10:10,Chocojar(Matcha),Aina Rahman,Cash,N/A,6.5,8,1.5
T0492,24/03/2025,20:43,Chocojar(Strawberry),Ahmad Abdullah,Cash,N/A,6.5,8,1.5
T0493,24/03/2025,13:03,Chocojar(Vanilla),Hafiz Omar,Cash,N/A,6.5,8,1.5
T0494,24/03/2025,09:50,Chocojar(Vanilla),Liyana Zainal,Cash,N/A,6.5,8,1.5
T0495,24/03/2025,08:37,Chocojar(Blueberry),Nur Zainal,Cash,N/A,6.5,8,1.5
T0496,24/03/2025,14:09,Chocojar(Strawberry),Siti Yusof,Cash,N/A,6.5,8,1.5
T0497,24/03/2025,21:32,Chocojar(Blueberry),Liyana Latif,Cash,N/A,6.5,8,1.5
T0498,24/03/2025,20:49,Chocojar(Matcha),Aina Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0498,6.5,8,1.5
T0499,24/03/2025,21:22,Chocojar(Vanilla),Ali Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0605,6.5,8,1.5
T0500,24/03/2025,08:39,Chocojar(Chocolate),Nur Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0640,6.5,8,1.5
T0501,25/03/2025,20:27,Chocojar(Strawberry),Siti Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0003,6.5,8,1.5
T0502,25/03/2025,17:10,Chocojar(Chocolate),Liyana Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0020,6.5,8,1.5
T0503,25/03/2025,20:08,Chocojar(Chocolate),Nur Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0032,6.5,8,1.5
T0504,25/03/2025,08:11,Chocojar(Strawberry),Nur Abdullah,Cash,N/A,6.5,8,1.5
T0505,25/03/2025,16:48,Chocojar(Blueberry),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0506,25/03/2025,12:46,Chocojar(Strawberry),Ahmad Omar,OnlineBanking,https://photos.app.goo.gl.com/T0126,6.5,8,1.5
T0507,25/03/2025,08:07,Chocojar(Vanilla),Ahmad Latif,Cash,N/A,6.5,8,1.5
T0508,25/03/2025,18:49,Chocojar(Strawberry),Nur Latif,Cash,N/A,6.5,8,1.5
T0509,25/03/2025,09:14,Chocojar(Blueberry),Nur Ismail,Cash,N/A,6.5,8,1.5
T0510,25/03/2025,09:56,Chocojar(Strawberry),Zara Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0183,6.5,8,1.5
T0511,25/03/2025,17:21,Chocojar(Vanilla),Hafiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0210,6.5,8,1.5
T0512,25/03/2025,15:03,Chocojar(Strawberry),Liyana Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0238,6.5,8,1.5
T0513,25/03/2025,17:35,Chocojar(Matcha),Faiz Omar,Cash,N/A,6.5,8,1.5
T0514,25/03/2025,15:30,Chocojar(Blueberry),Siti Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0266,6.5,8,1.5
T0515,25/03/2025,20:46,Chocojar(Vanilla),Faiz Latif,OnlineBanking,https://photos.app.goo.gl.com/T0269,6.5,8,1.5
T0516,25/03/2025,16:05,Chocojar(Matcha),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0272,6.5,8,1.5
T0517,25/03/2025,19:26,Chocojar(Matcha),Siti Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0323,6.5,8,1.5
T0518,25/03/2025,20:19,Chocojar(Matcha),Zulkifli Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0378,6.5,8,1.5
T0519,25/03/2025,21:26,Chocojar(Matcha),Faiz Salleh,Cash,N/A,6.5,8,1.5
T0520,25/03/2025,08:05,Chocojar(Chocolate),Aina Zainal,Cash,N/A,6.5,8,1.5
T0521,25/03/2025,19:28,Chocojar(Vanilla),Zara Latif,OnlineBanking,https://photos.app.goo.gl.com/T0488,6.5,8,1.5
T0522,25/03/2025,11:44,Chocojar(Vanilla),Zara Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0494,6.5,8,1.5
T0523,25/03/2025,16:48,Chocojar(Matcha),Zara Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0496,6.5,8,1.5
T0524,25/03/2025,08:25,Chocojar(Strawberry),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0499,6.5,8,1.5
T0525,25/03/2025,09:12,Chocojar(Matcha),Zulkifli Omar,Cash,N/A,6.5,8,1.5
T0526,25/03/2025,12:15,Chocojar(Strawberry),Siti Latif,Cash,N/A,6.5,8,1.5
T0527,25/03/2025,12:09,Chocojar(Blueberry),Siti Yusof,Cash,N/A,6.5,8,1.5
T0528,25/03/2025,10:21,Chocojar(Strawberry),Liyana Ismail,Cash,N/A,6.5,8,1.5
T0529,25/03/2025,17:00,Chocojar(Blueberry),Hafiz Abdullah,Cash,N/A,6.5,8,1.5
T0530,25/03/2025,15:11,Chocojar(Strawberry),Nur Hassan,Cash,N/A,6.5,8,1.5
T0531,26/03/2025,14:08,Chocojar(Chocolate),Faiz Hassan,Cash,N/A,6.5,8,1.5
T0532,26/03/2025,09:02,Chocojar(Blueberry),Ahmad Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0195,6.5,8,1.5
T0533,26/03/2025,22:06,Chocojar(Blueberry),Aina Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0217,6.5,8,1.5
T0534,26/03/2025,19:43,Chocojar(Vanilla),Siti Omar,OnlineBanking,https://photos.app.goo.gl.com/T0279,6.5,8,1.5
T0535,26/03/2025,13:02,Chocojar(Blueberry),Liyana Ismail,Cash,N/A,6.5,8,1.5
T0536,26/03/2025,16:25,Chocojar(Matcha),Siti Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0308,6.5,8,1.5
T0537,26/03/2025,08:57,Chocojar(Blueberry),Zulkifli Omar,Cash,N/A,6.5,8,1.5
T0538,26/03/2025,19:52,Chocojar(Vanilla),Faiz Abdullah,Cash,N/A,6.5,8,1.5
T0539,26/03/2025,08:10,Chocojar(Chocolate),Hafiz Latif,Cash,N/A,6.5,8,1.5
T0540,26/03/2025,10:22,Chocojar(Matcha),Zulkifli Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0357,6.5,8,1.5
T0541,26/03/2025,10:20,Chocojar(Strawberry),Zara Latif,Cash,N/A,6.5,8,1.5
T0542,26/03/2025,22:00,Chocojar(Chocolate),Nur Abdullah,Cash,N/A,6.5,8,1.5
T0543,26/03/2025,15:01,Chocojar(Chocolate),Ahmad Omar,Cash,N/A,6.5,8,1.5
T0544,26/03/2025,08:00,Chocojar(Blueberry),Faiz Zainal,Cash,N/A,6.5,8,1.5
T0545,26/03/2025,12:05,Chocojar(Strawberry),Zulkifli Hassan,Cash,N/A,6.5,8,1.5
T0546,26/03/2025,11:01,Chocojar(Chocolate),Siti Rahman,Cash,N/A,6.5,8,1.5
T0547,26/03/2025,13:54,Chocojar(Chocolate),Ali Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0531,6.5,8,1.5
T0548,26/03/2025,10:17,Chocojar(Vanilla),Zara Omar,Cash,N/A,6.5,8,1.5
T0549,26/03/2025,18:07,Chocojar(Matcha),Siti Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0582,6.5,8,1.5
T0550,27/03/2025,20:19,Chocojar(Matcha),Zara Latif,Cash,N/A,6.5,8,1.5
T0551,27/03/2025,16:09,Chocojar(Vanilla),Siti Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0050,6.5,8,1.5
T0552,27/03/2025,13:17,Chocojar(Strawberry),Aina Rahman,Cash,N/A,6.5,8,1.5
T0553,27/03/2025,19:55,Chocojar(Blueberry),Zara Salleh,Cash,N/A,6.5,8,1.5
T0554,27/03/2025,22:18,Chocojar(Vanilla),Aina Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0117,6.5,8,1.5
T0555,27/03/2025,15:16,Chocojar(Matcha),Ahmad Abdullah,Cash,N/A,6.5,8,1.5
T0556,27/03/2025,21:05,Chocojar(Strawberry),Ahmad Latif,OnlineBanking,https://photos.app.goo.gl.com/T0137,6.5,8,1.5
T0557,27/03/2025,18:50,Chocojar(Matcha),Aina Salleh,Cash,N/A,6.5,8,1.5
T0558,27/03/2025,10:09,Chocojar(Strawberry),Faiz Aziz,Cash,N/A,6.5,8,1.5
T0559,27/03/2025,09:01,Chocojar(Chocolate),Siti Zainal,Cash,N/A,6.5,8,1.5
T0560,27/03/2025,09:11,Chocojar(Vanilla),Ahmad Omar,OnlineBanking,https://photos.app.goo.gl.com/T0240,6.5,8,1.5
T0561,27/03/2025,08:46,Chocojar(Matcha),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0265,6.5,8,1.5
T0562,27/03/2025,11:29,Chocojar(Strawberry),Zara Latif,Cash,N/A,6.5,8,1.5
T0563,27/03/2025,10:26,Chocojar(Vanilla),Siti Latif,Cash,N/A,6.5,8,1.5
T0564,27/03/2025,08:32,Chocojar(Vanilla),Nur Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0359,6.5,8,1.5
T0565,27/03/2025,18:53,Chocojar(Chocolate),Zara Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0364,6.5,8,1.5
T0566,27/03/2025,08:15,Chocojar(Matcha),Liyana Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0405,6.5,8,1.5
T0567,27/03/2025,10:26,Chocojar(Blueberry),Faiz Rahman,Cash,N/A,6.5,8,1.5
T0568,27/03/2025,12:09,Chocojar(Matcha),Faiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0428,6.5,8,1.5
T0569,27/03/2025,18:50,Chocojar(Strawberry),Faiz Latif,Cash,N/A,6.5,8,1.5
T0570,27/03/2025,12:58,Chocojar(Chocolate),Zara Hassan,Cash,N/A,6.5,8,1.5
T0571,27/03/2025,22:48,Chocojar(Blueberry),Siti Zainal,Cash,N/A,6.5,8,1.5
T0572,27/03/2025,21:01,Chocojar(Strawberry),Aina Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0557,6.5,8,1.5
T0573,27/03/2025,12:45,Chocojar(Vanilla),Zulkifli Salleh,Cash,N/A,6.5,8,1.5
T0574,27/03/2025,14:31,Chocojar(Chocolate),Hafiz Salleh,Cash,N/A,6.5,8,1.5
T0575,27/03/2025,17:13,Chocojar(Chocolate),Ahmad Omar,OnlineBanking,https://photos.app.goo.gl.com/T0601,6.5,8,1.5
T0576,27/03/2025,19:47,Chocojar(Blueberry),Liyana Rahman,Cash,N/A,6.5,8,1.5
T0577,27/03/2025,15:20,Chocojar(Strawberry),Zara Aziz,Cash,N/A,6.5,8,1.5
T0578,28/03/2025,14:19,Chocojar(Matcha),Zulkifli Omar,OnlineBanking,https://photos.app.goo.gl.com/T0076,6.5,8,1.5
T0579,28/03/2025,18:34,Chocojar(Chocolate),Siti Latif,Cash,N/A,6.5,8,1.5
T0580,28/03/2025,18:31,Chocojar(Matcha),Faiz Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0123,6.5,8,1.5
T0581,28/03/2025,21:43,Chocojar(Vanilla),Ahmad Yusof,Cash,N/A,6.5,8,1.5
T0582,28/03/2025,09:31,Chocojar(Chocolate),Siti Yusof,Cash,N/A,6.5,8,1.5
T0583,28/03/2025,20:35,Chocojar(Strawberry),Zulkifli Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0186,6.5,8,1.5
T0584,28/03/2025,15:51,Chocojar(Strawberry),Zara Hassan,Cash,N/A,6.5,8,1.5
T0585,28/03/2025,17:58,Chocojar(Matcha),Zulkifli Omar,OnlineBanking,https://photos.app.goo.gl.com/T0207,6.5,8,1.5
T0586,28/03/2025,20:57,Chocojar(Chocolate),Hafiz Ismail,Cash,N/A,6.5,8,1.5
T0587,28/03/2025,21:40,Chocojar(Strawberry),Ali Omar,OnlineBanking,https://photos.app.goo.gl.com/T0253,6.5,8,1.5
T0588,28/03/2025,20:16,Chocojar(Chocolate),Hafiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0267,6.5,8,1.5
T0589,28/03/2025,09:04,Chocojar(Strawberry),Liyana Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0280,6.5,8,1.5
T0590,28/03/2025,19:46,Chocojar(Chocolate),Siti Hassan,Cash,N/A,6.5,8,1.5
T0591,28/03/2025,19:42,Chocojar(Vanilla),Siti Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0340,6.5,8,1.5
T0592,28/03/2025,15:03,Chocojar(Vanilla),Aina Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0429,6.5,8,1.5
T0593,28/03/2025,11:04,Chocojar(Blueberry),Ali Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0442,6.5,8,1.5
T0594,28/03/2025,20:28,Chocojar(Strawberry),Ali Salleh,Cash,N/A,6.5,8,1.5
T0595,28/03/2025,11:48,Chocojar(Blueberry),Siti Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0502,6.5,8,1.5
T0596,28/03/2025,19:37,Chocojar(Blueberry),Zulkifli Omar,Cash,N/A,6.5,8,1.5
T0597,29/03/2025,12:53,Chocojar(Chocolate),Ali Yusof,Cash,N/A,6.5,8,1.5
T0598,29/03/2025,12:50,Chocojar(Blueberry),Faiz Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0024,6.5,8,1.5
T0599,29/03/2025,17:53,Chocojar(Strawberry),Siti Salleh,Cash,N/A,6.5,8,1.5
T0600,29/03/2025,14:03,Chocojar(Blueberry),Aina Yusof,Cash,N/A,6.5,8,1.5
T0601,29/03/2025,10:33,Chocojar(Blueberry),Zulkifli Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0057,6.5,8,1.5
T0602,29/03/2025,22:23,Chocojar(Chocolate),Zulkifli Rahman,Cash,N/A,6.5,8,1.5
T0603,29/03/2025,10:39,Chocojar(Vanilla),Siti Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0273,6.5,8,1.5
T0604,29/03/2025,12:02,Chocojar(Chocolate),Nur Omar,OnlineBanking,https://photos.app.goo.gl.com/T0310,6.5,8,1.5
T0605,29/03/2025,18:22,Chocojar(Chocolate),Zara Omar,Cash,N/A,6.5,8,1.5
T0606,29/03/2025,10:46,Chocojar(Chocolate),Aina Ismail,Cash,N/A,6.5,8,1.5
T0607,29/03/2025,11:33,Chocojar(Chocolate),Faiz Ismail,Cash,N/A,6.5,8,1.5
T0608,29/03/2025,19:16,Chocojar(Vanilla),Faiz Omar,OnlineBanking,https://photos.app.goo.gl.com/T0404,6.5,8,1.5
T0609,29/03/2025,19:22,Chocojar(Chocolate),Nur Latif,Cash,N/A,6.5,8,1.5
T0610,29/03/2025,09:48,Chocojar(Strawberry),Hafiz Latif,Cash,N/A,6.5,8,1.5
T0611,29/03/2025,13:41,Chocojar(Vanilla),Liyana Latif,OnlineBanking,https://photos.app.goo.gl.com/T0497,6.5,8,1.5
T0612,29/03/2025,10:56,Chocojar(Chocolate),Nur Rahman,Cash,N/A,6.5,8,1.5
T0613,29/03/2025,18:53,Chocojar(Vanilla),Ahmad Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0590,6.5,8,1.5
T0614,29/03/2025,18:44,Chocojar(Vanilla),Siti Hassan,Cash,N/A,6.5,8,1.5
T0615,29/03/2025,20:17,Chocojar(Chocolate),Ali Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0613,6.5,8,1.5
T0616,29/03/2025,15:07,Chocojar(Matcha),Aina Salleh,Cash,N/A,6.5,8,1.5
T0617,29/03/2025,14:29,Chocojar(Blueberry),Liyana Aziz,Cash,N/A,6.5,8,1.5
T0618,29/03/2025,09:54,Chocojar(Blueberry),Siti Zainal,Cash,N/A,6.5,8,1.5
T0619,30/03/2025,12:31,Chocojar(Strawberry),Zara Omar,OnlineBanking,https://photos.app.goo.gl.com/T0009,6.5,8,1.5
T0620,30/03/2025,10:09,Chocojar(Vanilla),Ali Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0014,6.5,8,1.5
T0621,30/03/2025,10:13,Chocojar(Matcha),Nur Omar,OnlineBanking,https://photos.app.goo.gl.com/T0121,6.5,8,1.5
T0622,30/03/2025,17:57,Chocojar(Vanilla),Siti Salleh,Cash,N/A,6.5,8,1.5
T0623,30/03/2025,09:14,Chocojar(Vanilla),Nur Omar,Cash,N/A,6.5,8,1.5
T0624,30/03/2025,14:00,Chocojar(Strawberry),Siti Omar,Cash,N/A,6.5,8,1.5
T0625,30/03/2025,22:55,Chocojar(Matcha),Liyana Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0208,6.5,8,1.5
T0626,30/03/2025,22:05,Chocojar(Chocolate),Ali Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0248,6.5,8,1.5
T0627,30/03/2025,17:14,Chocojar(Vanilla),Siti Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0302,6.5,8,1.5
T0628,30/03/2025,19:48,Chocojar(Vanilla),Ahmad Latif,Cash,N/A,6.5,8,1.5
T0629,30/03/2025,21:43,Chocojar(Vanilla),Siti Latif,OnlineBanking,https://photos.app.goo.gl.com/T0320,6.5,8,1.5
T0630,30/03/2025,13:55,Chocojar(Vanilla),Ali Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0368,6.5,8,1.5
T0631,30/03/2025,16:42,Chocojar(Blueberry),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0403,6.5,8,1.5
T0632,30/03/2025,18:52,Chocojar(Strawberry),Faiz Yusof,Cash,N/A,6.5,8,1.5
T0633,30/03/2025,09:26,Chocojar(Blueberry),Nur Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0473,6.5,8,1.5
T0634,30/03/2025,10:50,Chocojar(Matcha),Zulkifli Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0484,6.5,8,1.5
T0635,30/03/2025,10:52,Chocojar(Matcha),Ahmad Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0525,6.5,8,1.5
T0636,30/03/2025,18:43,Chocojar(Matcha),Nur Ismail,Cash,N/A,6.5,8,1.5
T0637,31/03/2025,19:49,Chocojar(Blueberry),Nur Rahman,Cash,N/A,6.5,8,1.5
T0638,31/03/2025,18:11,Chocojar(Chocolate),Liyana Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0025,6.5,8,1.5
T0639,31/03/2025,19:56,Chocojar(Chocolate),Zulkifli Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0078,6.5,8,1.5
T0640,31/03/2025,13:11,Chocojar(Matcha),Zulkifli Aziz,Cash,N/A,6.5,8,1.5
T0641,31/03/2025,17:50,Chocojar(Vanilla),Ahmad Aziz,Cash,N/A,6.5,8,1.5
T0642,31/03/2025,11:56,Chocojar(Matcha),Hafiz Latif,Cash,N/A,6.5,8,1.5
T0643,31/03/2025,20:22,Chocojar(Chocolate),Nur Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0177,6.5,8,1.5
T0644,31/03/2025,10:12,Chocojar(Chocolate),Ali Aziz,Cash,N/A,6.5,8,1.5
T0645,31/03/2025,19:12,Chocojar(Strawberry),Zara Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0247,6.5,8,1.5
T0646,31/03/2025,20:27,Chocojar(Blueberry),Ahmad Omar,OnlineBanking,https://photos.app.goo.gl.com/T0282,6.5,8,1.5
T0647,31/03/2025,20:17,Chocojar(Vanilla),Zara Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0295,6.5,8,1.5
T0648,31/03/2025,18:36,Chocojar(Chocolate),Ali Latif,Cash,N/A,6.5,8,1.5
T0649,31/03/2025,12:21,Chocojar(Blueberry),Hafiz Abdullah,Cash,N/A,6.5,8,1.5
T0650,31/03/2025,21:11,Chocojar(Vanilla),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0651,31/03/2025,17:35,Chocojar(Vanilla),Faiz Hassan,Cash,N/A,6.5,8,1.5
T0652,31/03/2025,09:17,Chocojar(Chocolate),Nur Omar,OnlineBanking,https://photos.app.goo.gl.com/T0451,6.5,8,1.5
T0653,31/03/2025,08:36,Chocojar(Strawberry),Ali Latif,Cash,N/A,6.5,8,1.5
T0654,31/03/2025,11:51,Chocojar(Matcha),Hafiz Zainal,Cash,N/A,6.5,8,1.5
T0655,31/03/2025,11:20,Chocojar(Vanilla),Zara Aziz,Cash,N/A,6.5,8,1.5
T0656,31/03/2025,13:18,Chocojar(Vanilla),Liyana Salleh,Cash,N/A,6.5,8,1.5
T0657,31/03/2025,17:35,Chocojar(Strawberry),Liyana Zainal,Cash,N/A,6.5,8,1.5
